Department,Shift,Machine_Utilization_Percent,Downtime_Minutes,Production_Time_Minutes,Delivery_Delay_Minutes,Defect_Rate_Percent,Employee_Count
Dispatch,Night,87.99,51.34,165.24,14.26,2.26,22
Dispatch,Night,71.97,13.34,146.72,5.73,4.68,10
Quality Check,Evening,78.8,88.3,210.98,15.89,4.15,24
Packaging,Night,71.73,41.6,164.84,15.31,3.86,5
Assembly,Night,69.49,46.96,176.23,13.96,2.37,5
Quality Check,Morning,75.48,23.83,163.62,22.38,2.51,16
Packaging,Night,68.12,33.69,181.74,13.64,2.57,25
Packaging,Evening,73.69,31.46,152.51,21.17,1.07,6
Dispatch,Evening,64.65,29.16,161.6,19.21,5.03,8
Assembly,Evening,73.1,52.66,185.86,16.85,3.02,21
Packaging,Evening,79.48,31.01,163.12,25.2,2.69,8
Assembly,Night,69.11,60.35,191.67,20.4,5.04,15
Packaging,Night,75.09,93.26,182.2,31.55,2.77,26
Assembly,Evening,76.39,34.09,174.82,22.1,2.34,8
Assembly,Evening,79.53,43.05,154.59,18.53,2.8,5
Assembly,Night,73.66,47.59,171.55,20.89,2.18,11
Quality Check,Evening,85.86,76.23,175.57,24.55,3.05,22
Quality Check,Morning,53.99,38.35,171.03,10.03,3.93,13
Packaging,Evening,100.0,23.42,119.93,13.8,1.49,7
Dispatch,Evening,66.29,14.67,138.33,17.57,3.09,12
Packaging,Morning,79.03,38.84,161.27,23.46,2.94,28
Assembly,Morning,65.62,31.03,150.87,11.05,3.8,23
Dispatch,Night,81.44,80.2,171.63,24.67,2.41,8
Assembly,Night,77.77,75.4,180.85,22.06,2.75,22
Dispatch,Morning,68.49,19.31,130.41,12.31,3.49,24
Assembly,Morning,85.73,25.78,154.68,15.65,2.53,15
Dispatch,Night,73.36,41.48,142.1,17.31,3.36,18
Assembly,Evening,80.47,67.94,175.62,22.9,2.3,29
Dispatch,Morning,65.83,41.14,172.17,23.38,4.71,22
Packaging,Night,74.69,27.06,161.86,17.98,3.36,20
Dispatch,Evening,95.03,38.82,146.85,17.38,1.74,7
Assembly,Morning,84.63,27.43,168.93,23.44,3.11,19
Packaging,Evening,78.08,52.05,170.93,23.36,3.02,8
Dispatch,Night,70.51,25.82,169.62,13.41,1.74,9
Packaging,Morning,75.67,29.79,150.1,8.38,3.56,21
Quality Check,Evening,76.98,63.24,177.57,14.55,2.13,11
Quality Check,Morning,79.49,24.63,166.66,18.36,3.96,20
Packaging,Evening,64.23,11.08,152.88,8.51,3.55,18
Quality Check,Night,81.68,41.9,161.72,11.24,3.7,20
Packaging,Night,64.1,32.79,178.2,11.13,3.16,11
Dispatch,Morning,91.31,50.23,149.67,14.1,2.5,13
Assembly,Evening,67.28,46.35,152.37,21.21,4.85,8
Assembly,Morning,77.97,39.36,163.8,15.12,2.83,26
Dispatch,Morning,85.05,38.78,165.11,8.95,2.16,15
Dispatch,Evening,72.48,25.28,143.67,13.95,4.03,6
Packaging,Evening,78.41,41.67,168.98,17.36,3.72,16
Quality Check,Evening,89.35,57.63,169.86,16.25,1.98,16
Assembly,Night,80.64,20.53,125.07,18.86,0.98,8
Assembly,Morning,78.56,39.89,151.73,13.88,2.46,22
Packaging,Morning,58.15,60.77,185.98,24.66,4.77,25
Packaging,Night,65.66,50.11,175.74,20.5,2.94,11
Packaging,Evening,85.47,66.19,163.91,24.56,2.72,5
Assembly,Night,80.7,28.64,144.65,8.8,2.31,27
Dispatch,Night,82.21,3.38,152.97,11.0,0.96,17
Dispatch,Night,81.35,44.01,160.25,16.34,2.26,10
